Learning Rate: 0.01, Max Iterations: 100, Num Hidden Layers: 2,,,,,,,
Iteration,Set 1 Testing Logistic Accuracy,Set 1 Testing TanH Accuracy,Set 1 Testing ReLu Accuracy,Logistic Loss,TanH Loss,ReLu Loss,Set 1 Training Logistic Accuracy,Set 1 Training TanH Accuracy,set 1 Training ReLu Accuracy
81,0.775462963,0.780092593,0.775462963,0.581188911,0.526791836,0.489438998,0.768339768,0.77992278,0.76988417
82,0.775462963,0.782407407,0.777777778,0.580241629,0.531533468,0.488790846,0.76988417,0.781467181,0.756756757
83,0.775462963,0.787037037,0.775462963,0.57944092,0.526280906,0.488619666,0.76988417,0.77992278,0.767567568
84,0.775462963,0.782407407,0.773148148,0.578045121,0.520924143,0.487377785,0.769111969,0.776833977,0.767567568
85,0.775462963,0.789351852,0.780092593,0.577330215,0.520413501,0.48409453,0.76988417,0.780694981,0.762934363
86,0.770833333,0.784722222,0.773148148,0.576093337,0.518158807,0.48472319,0.769111969,0.77992278,0.766795367
87,0.773148148,0.784722222,0.780092593,0.575571076,0.520362699,0.482260044,0.769111969,0.775289575,0.758301158
88,0.773148148,0.787037037,0.775462963,0.574264087,0.516622965,0.482007965,0.771428571,0.779150579,0.767567568
89,0.773148148,0.784722222,0.782407407,0.574389662,0.515868526,0.478942412,0.771428571,0.77992278,0.764478764
90,0.773148148,0.784722222,0.777777778,0.57496088,0.515316684,0.478068244,0.769111969,0.775289575,0.772200772
91,0.777777778,0.784722222,0.782407407,0.572451678,0.515713736,0.475617984,0.771428571,0.779150579,0.769111969
92,0.773148148,0.787037037,0.770833333,0.570506548,0.517475033,0.473658233,0.770656371,0.779150579,0.769111969
93,0.768518519,0.784722222,0.782407407,0.570648984,0.512946495,0.477193176,0.76988417,0.779150579,0.756756757
94,0.768518519,0.793981481,0.770833333,0.568906965,0.512738117,0.477841369,0.76988417,0.780694981,0.771428571
95,0.780092593,0.787037037,0.780092593,0.570213606,0.514009145,0.47619768,0.772200772,0.77992278,0.771428571
96,0.780092593,0.791666667,0.784722222,0.571548402,0.511964353,0.472556175,0.776061776,0.780694981,0.772200772
97,0.775462963,0.787037037,0.780092593,0.565669037,0.510473128,0.470792269,0.774517375,0.77992278,0.772200772
98,0.770833333,0.784722222,0.782407407,0.567043516,0.510275778,0.468912589,0.76988417,0.77992278,0.772972973
99,0.773148148,0.787037037,0.787037037,0.565044135,0.508232555,0.467715573,0.772972973,0.780694981,0.771428571
Learning Rate: 0.01, Max Iterations: 100, Num Hidden Layers: 3,,,,,,,
Iteration,Set 2 Testing Logistic Accuracy,Set 2 Testing TanH Accuracy,Set 2 Testing ReLu Accuracy,Logistic Loss,TanH Loss,ReLu Loss,Set 2 Training Logistic Accuracy,Set 2 Training TanH Accuracy,set 2 Training ReLu Accuracy
0,0.24537037,0.553240741,0.523148148,1.818067675,1.340144034,1.378120046,0.214671815,0.580694981,0.537451737
1,0.24537037,0.662037037,0.6875,1.559516913,0.997799193,1.17139333,0.214671815,0.687258687,0.703474903
2,0.24537037,0.675925926,0.6875,1.343438897,0.866385983,1.114590602,0.214671815,0.714285714,0.704247104
3,0.6875,0.678240741,0.6875,1.138887598,0.800992704,1.068981728,0.704247104,0.721235521,0.704247104
4,0.6875,0.68287037,0.6875,0.979671822,0.759295279,1.014020453,0.704247104,0.701930502,0.704247104
5,0.6875,0.6875,0.6875,0.893517497,0.732409645,0.966674572,0.704247104,0.704247104,0.704247104
